144,136897,137547,1, 1.0
145,137554,137766,1, 1.0
146,137792,139039,-1, 1.0
147,139098,139517,-1, 1.0
148,139518,140426,1, 1.0
149,140446,141867,1, 1.0
150,141958,142305,-1, 1.0
151,142302,142919,-1, 1.0
152,142916,143869,1, 1.0
153,143954,144682,-1, 1.0
154,144716,146728,-1, 1.0
155,146813,148453,-1, 1.0
156,148684,149397,-1, 1.0
157,149447,150625,-1, 1.0
158,150609,151499,1, 1.0
159,151577,151855,-1, 1.0
160,151818,152003,1, 1.0
161,152080,152556,1, 1.0
162,152557,153471,1, 1.0
163,153482,153802,1, 1.0
164,153804,154403,1, 1.0
165,154417,155043,1, 1.0
166,155113,156231,1, 1.0
167,156307,157452,1, 1.0
168,157532,158989,1, 1.0
169,159071,159421,-1, 1.0
170,159422,160666,1, 1.0
171,160714,161025,-1, 1.0
172,161069,161695,-1, 1.0
173,161711,162202,1, 1.0
174,162339,163040,-1, 1.0
175,163042,163770,1, 1.0
176,163830,164975,-1, 1.0
177,164984,165886,1, 1.0
178,165925,167112,-1, 1.0
179,167121,167573,-1, 1.0
180,167587,168804,1, 1.0
181,168789,169754,1, 1.0
182,169751,170668,1, 1.0
183,170770,172167,-1, 1.0
184,172160,173083,1, 1.0
185,173089,173343,1, 1.0
186,173478,174542,-1, 1.0
187,174547,174729,-1, 1.0
188,174737,175279,-1, 1.0
189,175302,175718,-1, 1.0
190,175726,176322,-1, 1.0
191,176344,177072,-1, 1.0
192,177069,178178,1, 1.0
193,178178,179989,1, 1.0
194,180017,180883,1, 1.0
195,180959,182341,1, 1.0
196,182408,182860,-1, 1.0
197,182880,185189,1, 1.0
198,185245,186840,-1, 1.0
199,186826,187794,1, 1.0
200,187791,188657,1, 1.0
201,188883,190091,-1, 1.0
202,190093,190824,1, 1.0
203,190852,191946,-1, 1.0
204,191925,193049,1, 1.0
205,193065,194234,1, 1.0
206,194249,194971,1, 1.0
207,195017,195412,1, 1.0
208,195441,195968,1, 1.0
209,196161,196847,1, 1.0
210,196935,197360,1, 1.0
